07-12-201807-12-201812-12-201816:22:4612-12-201816:45:4400007514
    0000000040550000000040550001           435001003 1   1 CLP     2018120700K1769 BEX20000000000149811909000000000001498119090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822051001           212801013 1   1 CLP     2018120700K1769 BFW   20000000077385493000000000000773854930000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822061001           212801014 1   1 CLP     2018120700K1769 BFW   20000000149741710000000000001497417100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822121001           212801031 1   1 CLP     2018120700K1769 BFW   20000000055071374000000000000550713740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822211001           212801016 1   1 CLP     2018120700K1769 BFW   20000000024199607000000000000241996070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822311001           212801014 1   1 CLP     2018120700K1769 BFW   20000000108026133000000000001080261330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822421001           212801031 1   1 CLP     2018120700K1769 BFW   20000000056490607000000000000564906070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822481001           212801013 1   1 CLP     2018120700K1769 BFW   20000000078878719000000000000788787190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822521001           412801013 1   1 CLP     2018120700K1769 BFW   20000000075546682000000000000755466820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822531001           212801017 1   1 CLP     2018120700K1769 BFW   10000000003733198000000000000037331980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822541001           412801013 1   1 CLP     2018120700K1769 BFW   20000000076717248000000000000767172480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822551001           212801017 1   1 CLP     2018120700K1769 BFW   10000000005475282000000000000054752820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822581001           412801014 1   1 CLP     2018120700K1769 BFW   20000000106509090000000000001065090900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
